Time,Money,Total Income, Factory Income, Click Income,Quartz Click Power,Quartz Factories,Quartz Factory Cost,Topaz Click Power,Topaz Factories,Topaz Factory Cost,Amethyst Click Power,Amethyst Factories,Amethyst Factory Cost,Sapphire Click Power,Sapphire Factories,Sapphire Factory Cost,Emerald Click Power,Emerald Factories,Emerald Factory Cost,Ruby Click Power,Ruby Factories,Ruby Factory Cost,Diamond Click Power,Diamond Factories,Diamond Factory Cost,Rainbow Click Power,Rainbow Factories,Rainbow Factory Cost,
73,1106598.3892635026,1230,1230,0,1,43,4888.643650556434,1,24,4293.7764286682095,1,6,4626.121531249998,0,0,33000,0,0,450000,0,0,5250000,0,0,22500000,0,0,1000000000,
74,1176164.6128348343,1231,1231,0,1,43,4888.643650556434,1,25,4937.84289296844,1,6,4626.121531249998,0,0,33000,0,0,450000,0,0,5250000,0,0,22500000,0,0,1000000000,
75,1246118.4913035843,1243,1243,0,1,43,4888.643650556434,1,25,4937.84289296844,1,7,5320.039760937497,0,0,33000,0,0,450000,0,0,5250000,0,0,22500000,0,0,1000000000,
76,1324809.8476530279,1393,1393,0,1,44,5621.940198139899,1,25,4937.84289296844,1,7,5320.039760937497,0,0,33000,0,0,450000,0,0,5250000,0,0,22500000,0,0,1000000000,
77,1403512.0047600595,1394,1394,0,1,44,5621.940198139899,1,26,5678.519326913706,1,7,5320.039760937497,0,0,33000,0,0,450000,0,0,5250000,0,0,22500000,0,0,1000000000,
78,1482551.964999122,1406,1406,0,1,44,5621.940198139899,1,26,5678.519326913706,1,8,6118.045725078121,0,0,33000,0,0,450000,0,0,5250000,0,0,22500000,0,0,1000000000,
79,1570290.024800982,1556,1556,0,1,45,6465.231227860882,1,26,5678.519326913706,1,8,6118.045725078121,0,0,33000,0,0,450000,0,0,5250000,0,0,22500000,0,0,1000000000,
80,1658031.5054740685,1557,1557,0,1,45,6465.231227860882,1,27,6530.2972259507615,1,8,6118.045725078121,0,0,33000,0,0,450000,0,0,5250000,0,0,22500000,0,0,1000000000,
81,1746053.4597489904,1569,1569,0,1,45,6465.231227860882,1,27,6530.2972259507615,1,9,7035.752583839838,0,0,33000,0,0,450000,0,0,5250000,0,0,22500000,0,0,1000000000,
82,1842728.2285211296,1719,1719,0,1,46,7435.015912040016,1,27,6530.2972259507615,1,9,7035.752583839838,0,0,33000,0,0,450000,0,0,5250000,0,0,22500000,0,0,1000000000,
83,1939397.9312951788,1720,1720,0,1,46,7435.015912040016,1,28,7509.841809843374,1,9,7035.752583839838,0,0,33000,0,0,450000,0,0,5250000,0,0,22500000,0,0,1000000000,
84,2036282.178711339,1732,1732,0,1,46,7435.015912040016,1,28,7509.841809843374,1,10,8091.115471415814,0,0,33000,0,0,450000,0,0,5250000,0,0,22500000,0,0,1000000000,
85,2141767.1627992988,1882,1882,0,1,47,8550.268298846015,1,28,7509.841809843374,1,10,8091.115471415814,0,0,33000,0,0,450000,0,0,5250000,0,0,22500000,0,0,1000000000,
86,2247237.3209894556,1883,1883,0,1,47,8550.268298846015,1,29,8636.31808131988,1,10,8091.115471415814,0,0,33000,0,0,450000,0,0,5250000,0,0,22500000,0,0,1000000000,
87,2352846.20551804,1895,1895,0,1,47,8550.268298846015,1,29,8636.31808131988,1,11,9304.782792128184,0,0,33000,0,0,450000,0,0,5250000,0,0,22500000,0,0,1000000000,
88,2466995.9372191937,2045,2045,0,1,48,9832.808543672916,1,29,8636.31808131988,1,11,9304.782792128184,0,0,33000,0,0,450000,0,0,5250000,0,0,22500000,0,0,1000000000,
89,2581119.619137874,2046,2046,0,1,48,9832.808543672916,1,30,9931.765793517863,1,11,9304.782792128184,0,0,33000,0,0,450000,0,0,5250000,0,0,22500000,0,0,1000000000,
90,2695294.8363457457,2058,2058,0,1,48,9832.808543672916,1,30,9931.765793517863,1,12,10700.50021094741,0,0,33000,0,0,450000,0,0,5250000,0,0,22500000,0,0,1000000000,
91,2817942.027802073,2208,2208,0,1,49,11307.729825223854,1,30,9931.765793517863,1,12,10700.50021094741,0,0,33000,0,0,450000,0,0,5250000,0,0,22500000,0,0,1000000000,
92,2940550.2620085552,2209,2209,0,1,49,11307.729825223854,1,31,11421.53066254554,1,12,10700.50021094741,0,0,33000,0,0,450000,0,0,5250000,0,0,22500000,0,0,1000000000,
93,3063109.761797608,2221,2221,0,1,49,11307.729825223854,1,31,11421.53066254554,1,13,12305.575242589523,0,0,33000,0,0,450000,0,0,5250000,0,0,22500000,0,0,1000000000,
94,3194062.031972384,2371,2371,0,1,50,13003.889299007431,1,31,11421.53066254554,1,13,12305.575242589523,0,0,33000,0,0,450000,0,0,5250000,0,0,22500000,0,0,1000000000,
95,3324960.5013098386,2372,2372,0,1,50,13003.889299007431,1,32,13134.760261927368,1,13,12305.575242589523,0,0,33000,0,0,450000,0,0,5250000,0,0,22500000,0,0,1000000000,
96,3455694.926067249,2384,2384,0,1,50,13003.889299007431,1,32,13134.760261927368,1,14,14151.411528977951,0,0,33000,0,0,450000,0,0,5250000,0,0,22500000,0,0,1000000000,
